Date,AXP,BA,CAT,CSCO,CVX,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MS,MSFT,NKE,ORCL,PFE,PG,T,VZ,WMT,XOM
2004-01-01,32.91751480102539,28.748363494873047,22.7138729095459,16.546037673950195,18.62021827697754,18.869226455688477,94.2695541381836,70.71238708496094,20.972591400146484,50.044490814208984,17.53168487548828,28.6126708984375,21.25846290588379,12.687153816223145,14.207416534423828,30.10701560974121,17.000730514526367,6.575160503387451,11.043049812316895,13.875457763671875,27.56519889831543,4.014678955078125,10.639185905456543,11.689312934875488,19.64594841003418
2004-02-01,33.9207649230957,29.863862991333008,22.119739532470703,14.904942512512207,19.05149269104004,20.858360290527344,91.15809631347656,75.38878631591797,21.469247817993164,48.66767120361328,16.7734375,28.87513542175293,22.632286071777344,12.872658729553223,15.62043285369873,31.04303741455078,16.312097549438477,6.914018630981445,10.254261016845703,13.883030891418457,28.084659576416016,3.8387551307678223,11.18022632598877,12.928791046142578,20.31061363220215
2004-03-01,32.923851013183594,28.390403747558594,23.089214324951172,15.168805122375488,19.087982177734375,19.6475830078125,86.07391357421875,74.30640411376953,22.090091705322266,46.3925895690918,15.644499778747559,27.286340713500977,23.1453914642334,12.960270881652832,15.769460678100586,29.765153884887695,15.328328132629395,7.350098133087158,9.561075210571289,13.336551666259766,28.73398208618164,3.9234912395477295,10.65811538696289,12.957010269165039,20.155649185180664
2004-04-01,31.14240074157715,29.510244369506836,22.697921752929688,13.456926345825195,19.896900177001953,18.10660171508789,84.46639251708984,68.8945541381836,20.846229553222656,44.538692474365234,14.79901123046875,29.067052841186523,20.745332717895508,13.095442771911621,15.02983570098877,26.695154190063477,16.066164016723633,6.800185203552246,8.963512420654297,13.606708526611328,28.98328399658203,3.981048822402954,11.008137702941895,12.400893211364746,20.620880126953125
2004-05-01,32.25575637817383,31.660097122192383,22.103803634643555,14.396525382995605,19.657697677612305,18.452531814575195,87.76607513427734,67.03684997558594,21.278669357299805,44.750858306884766,16.420969009399414,29.970855712890625,20.490877151489258,13.29743480682373,14.571712493896484,27.91972541809082,16.127647399902344,6.7245774269104,9.083023071289062,13.446894645690918,29.68131446838379,3.8521909713745117,10.190620422363281,12.124589920043945,20.96011734008789
2004-06-01,32.688385009765625,35.48186492919922,23.303598403930664,15.252472877502441,20.626907348632812,20.040695190429688,91.37596130371094,67.21529388427734,20.852149963378906,44.618865966796875,15.898772239685059,30.12175178527832,21.564361572265625,13.0721435546875,14.350924491882324,27.533605575561523,17.56024932861328,7.159330368041992,9.505304336547852,13.105608940124512,29.97311782836914,3.941586494445801,10.66508960723877,11.448831558227539,21.661394119262695
2004-07-01,32.031925201416016,35.2457389831543,21.558164596557617,13.463359832763672,20.964431762695312,18.153772354125977,94.33775329589844,62.95368957519531,20.022903442382812,44.07221984863281,14.043907165527344,29.889217376708984,20.763425827026367,11.41311264038086,15.17887020111084,25.738740921020508,17.517210006713867,6.881775379180908,8.373912811279297,12.218647956848145,28.712305068969727,4.11875581741333,11.357623100280762,11.560051918029785,22.5832462310791
2004-08-01,31.885337829589844,36.26664733886719,21.4371337890625,12.073266983032227,21.36991310119629,17.650592803955078,93.03264617919922,64.17869567871094,21.709291458129883,42.867530822753906,12.263937950134277,31.41965675354004,22.209678649902344,11.63429069519043,14.91392707824707,26.599641799926758,16.785533905029297,7.127856731414795,7.943662643432617,12.490090370178223,30.957504272460938,4.265145778656006,11.691678047180176,11.485908508300781,22.485692977905273
2004-09-01,32.803260803222656,35.99504852294922,23.72239112854004,11.648515701293945,23.709720611572266,17.72921371459961,95.27404022216797,66.74868774414062,23.33120346069336,43.490882873535156,11.574560165405273,30.617469787597656,22.29383087158203,10.421680450439453,15.47140121459961,25.8498477935791,17.050878524780273,7.4581756591796875,8.98741626739502,11.762223243713379,29.934240341186523,4.291610240936279,11.730411529541016,11.628986358642578,23.714773178100586
2004-10-01,33.829559326171875,34.795684814453125,23.748924255371094,12.362861633300781,23.453346252441406,19.828414916992188,97.38013458251953,70.4283218383789,24.450151443481445,45.52492904663086,12.843955039978027,31.731712341308594,21.65975570678711,10.64234733581543,16.0895938873291,26.78841209411621,17.248220443725586,7.705702304840088,10.08694076538086,11.1279878616333,28.308115005493164,4.177497386932373,11.647004127502441,11.786375045776367,24.151485443115234
