"Date","AAPL","MSFT","NVDA","AMZN","JPM","GS","BAC","JNJ","UNH","LLY","PG","KO","WMT","MCD","XOM","CVX","COP","CAT","HON","BA"
2012-10-01,17.9141597747803,22.7445316314697,0.274577170610428,11.6444997787476,28.8370952606201,94.9982223510742,7.27163600921631,48.551139831543,44.9285659790039,36.7813987731934,47.1521263122559,24.4633178710938,19.1625556945801,60.6826477050781,53.1537857055664,63.1015510559082,36.703254699707,60.2173538208008,41.5421409606934,58.6673736572266
2012-11-01,17.6120471954346,21.2144184112549,0.274347901344299,12.602499961853,28.6318836212158,91.4277572631836,7.69295454025269,47.8038864135742,43.636890411377,37.0914878845215,47.9444465637207,24.9502182006836,18.3962631225586,60.8504219055176,51.3872375488281,60.4971313476562,36.5473175048828,60.8881530761719,41.6031913757324,61.8655662536621
2012-12-01,16.0870151519775,21.4610614776611,0.282807350158691,12.5434999465942,30.6461563110352,99.431022644043,9.05833911895752,48.4825172424316,43.516529083252,37.6856002807617,46.6124649047852,24.0150566101074,17.4281768798828,62.2221374511719,50.7761535644531,62.4332427978516,37.2212677001953,64.0097122192383,43.3544807434082,63.1508750915527
2013-01-01,13.7690525054932,22.0556373596191,0.282807350158691,13.2749996185303,32.7928428649902,115.254577636719,8.84099769592285,51.1245231628418,44.4713096618652,41.0247344970703,51.6039428710938,24.6709232330322,17.9666690826416,67.2162704467773,52.7825813293457,66.4804000854492,37.2276802062988,70.6862564086914,46.6127166748047,61.9022750854492
2013-02-01,13.3431262969971,22.3368492126465,0.292034357786179,13.2135000228882,34.3304290771484,116.735557556152,8.7707052230835,52.6391563415527,43.0536575317383,41.7659072875977,52.728343963623,25.6513957977295,18.1798572540283,67.6465377807617,52.5361671447754,67.6350479125977,37.1955947875977,66.3612976074219,47.8832206726074,64.4413986206055
2013-03-01,13.4591970443726,23.1779956817627,0.297771543264389,13.3245000839233,33.3058395385742,115.090835571289,9.52121639251709,56.8387603759766,46.082332611084,43.7923011779785,53.3374176025391,26.7908744812012,19.2200965881348,70.8872299194336,53.2024345397949,69.1332855224609,39.0149192810059,62.4818153381348,51.7710609436035,72.4035110473633
2013-04-01,13.4628448486328,26.8155117034912,0.3195880651474,12.6905002593994,34.3935775756836,114.246147155762,9.62283802032471,59.4182319641113,48.460636138916,42.705005645752,53.1366958618164,28.2459678649902,20.0911827087402,72.6293869018555,52.5411911010742,70.9893188476562,39.2421340942383,60.8293914794922,50.5274696350098,77.092658996582
2013-05-01,13.6741619110107,28.273754119873,0.335834383964539,13.460000038147,38.5489883422852,126.768074035645,10.678150177002,58.6862297058105,50.6439170837402,40.9930953979492,53.5201263427734,26.6845264434814,19.3466854095459,68.6686935424805,53.4149971008301,71.4198989868164,39.8198890686035,62.0372200012207,53.9078521728516,83.5107345581055
2013-06-01,12.1364030838013,28.1783237457275,0.327509671449661,13.8844995498657,37.277904510498,118.671417236328,10.0527763366699,60.3073768615723,52.9484748840332,38.2104339599609,53.6805038452148,26.7646007537842,19.3717002868652,70.9481506347656,53.7131729125977,69.4092788696289,39.6818237304688,59.6439247131348,54.7936897277832,86.8393630981445
2013-07-01,13.8503694534302,25.9756183624268,0.336840480566025,15.0609998703003,39.3539962768555,128.698699951172,11.4215002059937,65.6736831665039,59.1675491333008,41.3142509460449,55.9883613586426,26.9294414520264,20.2688999176025,70.288818359375,55.734447479248,73.8375396728516,42.5415649414062,59.9476089477539,57.3075332641602,89.0942840576172
2013-08-01,14.9121084213257,27.2482872009277,0.34407177567482,14.048999786377,35.9421882629395,119.361869812012,11.0459995269775,60.693717956543,58.2660217285156,39.9840393066406,54.7147903442383,25.6528472900391,18.9790077209473,67.622917175293,51.8167152404785,70.6351013183594,43.9485931396484,60.096118927002,54.9525337219238,88.0939559936523
2013-09-01,14.6880073547363,27.3417129516602,0.364796608686447,15.6319999694824,36.7673034667969,124.538673400879,10.7956657409668,61.3491325378418,58.1604461669922,39.5098762512207,53.0991439819336,25.4512844085693,19.3506565093994,69.5057373046875,51.5044136047363,71.8514022827148,46.0764236450195,60.7222747802734,57.637134552002,100.05924987793
2013-10-01,16.1036605834961,29.091646194458,0.356122106313705,18.2014999389648,36.6606101989746,126.624656677246,10.9363298416138,65.5386581420898,55.6484260559082,39.1095161437988,56.7238616943359,26.7801284790039,20.0806293487549,69.7296905517578,53.6474304199219,70.9406967163086,48.6086196899414,60.6931304931641,60.1983222961426,111.12963104248
2013-11-01,17.131742477417,31.326301574707,0.365734338760376,19.6809997558594,41.0006713867188,132.98503112793,12.3845930099487,66.9893646240234,60.7192192077637,39.4235229492188,59.6239204406738,27.1997299194336,21.1952056884766,70.3437194824219,55.9580574035645,72.4072952270508,48.7392997741699,62.0273475646973,61.4337959289551,114.323028564453
2013-12-01,17.3851661682129,30.9678745269775,0.37761515378952,19.9395008087158,41.9035263061523,139.992462158203,12.1888799667358,65.2692718505859,61.3877296447754,40.431583404541,57.634578704834,28.1535758972168,20.5882091522217,70.6811447143555,60.9915428161621,74.4882125854492,47.2998809814453,66.5804748535156,63.7423439025879,116.654098510742
