"Date","Plugin","Bayesian","Equal_Weight"
2009-01-01,0.884267464876237,0.891913747013065,0.875532415834013
2009-02-01,0.794404426403813,0.81597191109381,0.772876678706595
2009-03-01,0.841248121305131,0.873777624291737,0.893229252726368
2009-04-01,0.845781972713598,0.887001534235057,1.00847266038945
2009-05-01,0.898614898205545,0.933741501607159,1.08001356710486
2009-06-01,0.886082381584049,0.930974204997598,1.07199572505877
2009-07-01,0.895985245688071,0.966344072992099,1.16300544296612
2009-08-01,0.907238449701331,0.969605749532833,1.22426052251539
2009-09-01,0.921080721138735,0.994793557613349,1.27357818719194
2009-10-01,0.940671802377799,1.01136346092602,1.25742781607259
2009-11-01,1.00763254491849,1.07769632155484,1.35982042736036
2009-12-01,0.995342238157262,1.07265177965571,1.39328217028204
2010-01-01,0.969697599730071,1.03739670555023,1.33755943578269
2010-02-01,0.989528103714017,1.05878500492387,1.37582731301015
2010-03-01,1.04557059483781,1.11173635121746,1.47263479765523
2010-04-01,1.08187754258809,1.13360753755692,1.50645113092579
2010-05-01,1.02616517789117,1.06740496133528,1.38508392673557
2010-06-01,1.00510923834722,1.03257184628576,1.30065353200102
2010-07-01,1.05885392411148,1.09249186518939,1.39391149481183
2010-08-01,1.08002519381019,1.0829459382668,1.32407494572254
2010-09-01,1.13708961372856,1.16351793747663,1.46411233091838
2010-10-01,1.18564646428555,1.20569500538156,1.50976062787165
2010-11-01,1.19352342796644,1.21062064032565,1.52924729573886
2010-12-01,1.18928217537284,1.24139650461987,1.63851054496748
2011-01-01,1.18019431802395,1.25709388421383,1.69812920625323
2011-02-01,1.19042138922363,1.27698189453401,1.75239606424275
2011-03-01,1.2065905166854,1.28182122608052,1.7416105580574
2011-04-01,1.24743930629088,1.33253912534462,1.80214979466482
2011-05-01,1.27583556264053,1.33674050499557,1.77135412772738
2011-06-01,1.31707740540141,1.34629894073715,1.73942591999177
2011-07-01,1.37588101623765,1.39387037482272,1.70256157690912
2011-08-01,1.3974640948911,1.38997267737806,1.60834213422781
2011-09-01,1.37995867865952,1.37400337905617,1.50117871420313
2011-10-01,1.4517996781209,1.44911387556088,1.66275177210707
2011-11-01,1.47301958330972,1.45649380476382,1.65584461707552
2011-12-01,1.52331348237288,1.48572402976458,1.67922293201908
2012-01-01,1.5420328782871,1.51721909413168,1.79286314446921
2012-02-01,1.56023615043323,1.54830518847803,1.86240422395869
2012-03-01,1.59588722095411,1.60750540299573,1.95676534009888
2012-04-01,1.58195850182102,1.60412545843582,1.92165375515164
2012-05-01,1.47376539192959,1.55091385094235,1.78635324602966
2012-06-01,1.50536377973736,1.59805785391971,1.86757211278656
2012-07-01,1.54836073840853,1.64360496922831,1.85906074597781
2012-08-01,1.55114257560813,1.64925065823332,1.90634248885903
2012-09-01,1.59627350341383,1.70336059937078,1.95165470762056
2012-10-01,1.5441030711147,1.65193867710839,1.91374672567318
2012-11-01,1.52522882093505,1.65021334571399,1.93519534439623
2012-12-01,1.50432766143765,1.61412861512669,1.97362975253661
2013-01-01,1.60375503385285,1.7018705959903,2.09066484353873
2013-02-01,1.6079018914621,1.71122449592833,2.1076727564952
2013-03-01,1.6655360720397,1.77522902333689,2.17815816285981
2013-04-01,1.70932827901511,1.81438986263574,2.23233140295803
2013-05-01,1.68732911587942,1.80575220863376,2.32328080772609
2013-06-01,1.70914822647671,1.81102195377965,2.29744053823145
2013-07-01,1.73520075569449,1.87687843623462,2.41173022440935
2013-08-01,1.65604641375412,1.80328662198186,2.33677528931654
2013-09-01,1.70868542306926,1.85642290592506,2.42499476847977
2013-10-01,1.78083845982651,1.93483877933491,2.51370584545866
2013-11-01,1.85978140403686,2.01504693245014,2.61633475848995
2013-12-01,1.85350838064555,2.01369215945839,2.67151008324266
2014-01-01,1.71759062775992,1.87199592933091,2.54829669290516
2014-02-01,1.77811786112072,1.93424096587311,2.65768461089504
2014-03-01,1.79280406999154,1.93962086422552,2.71187942955102
2014-04-01,1.77090306256597,1.9272777074296,2.72924985150275
2014-05-01,1.82686580458883,1.98255917464394,2.76654160432475
2014-06-01,1.87331437620331,2.0260260082594,2.82967981083115
2014-07-01,1.87472522816989,2.01164266543249,2.7820616842394
2014-08-01,1.96198231787129,2.10922041463127,2.90308098871747
2014-09-01,1.95904585393028,2.11577022788692,2.87874599740722
2014-10-01,2.08275663689329,2.2170631304885,2.92163730670875
2014-11-01,2.18850326995561,2.33117024269507,3.00803089318699
2014-12-01,2.19693204705819,2.32596044645434,3.00821638808513
2015-01-01,2.27307308599958,2.40420529396415,2.89236586242866
2015-02-01,2.40583246181272,2.54090900067949,3.07582030170061
2015-03-01,2.4460254370347,2.58989958463303,3.02612714700296
2015-04-01,2.40010459069083,2.54881547566919,3.07220651668864
2015-05-01,2.55491360349391,2.68250935374434,3.10943209089392
2015-06-01,2.6406327988468,2.73849975135034,3.05490067967911
2015-07-01,2.75339346680598,2.8644056672727,3.08802604578326
2015-08-01,2.64634654657352,2.73248591148594,2.91819180046985
2015-09-01,2.70921358606857,2.79560039499324,2.89112069668707
2015-10-01,2.85465514770262,2.94928113303836,3.15073193496488
2015-11-01,2.92366662636732,2.99837750366898,3.18351722797949
2015-12-01,2.90718782023282,2.99341227948499,3.15146063290688
2016-01-01,2.79068169881234,2.87633866976191,2.95722472050846
2016-02-01,2.66894019353692,2.7656985568484,2.91460200789349
2016-03-01,2.77664519606223,2.88246952608137,3.15054062647908
2016-04-01,2.78049414882121,2.8816263239088,3.22593071212743
2016-05-01,2.73226800764464,2.85474189298832,3.29508246166003
2016-06-01,2.73439490562148,2.89105655931617,3.33177921640966
2016-07-01,2.9069669249273,3.06228312145992,3.48808364704406
2016-08-01,2.85088646414177,3.00390427544534,3.52139402527065
2016-09-01,2.84588380637234,3.02290501902324,3.52704661475431
2016-10-01,2.76247513399045,2.93657671575434,3.49886844422984
2016-11-01,3.02460121246557,3.17382509015392,3.73327909797228
2016-12-01,3.21201711104836,3.36736751015825,3.86861632985058
2017-01-01,3.32038326354495,3.4888228458648,3.88339340939248
2017-02-01,3.35790872998843,3.5454676912595,4.06699194980407
2017-03-01,3.45469537802598,3.63643225976293,4.09341688184316
2017-04-01,3.46374399380323,3.6656134434992,4.11030145395539
